Actual,Predicted
232.5,229.90332
230.0,230.57178
226.75,225.65857
232.5,228.22452
228.33,229.79948
220.56,234.44006
228.0,229.26263
230.0,229.84839
251.44,240.979
250.22,244.02055
228.33,231.29175
218.0,231.10521
232.5,230.22147
226.67,230.67725
230.0,232.25058
226.75,223.82047
227.97,227.55475
218.0,229.42642
226.67,231.47827
249.78,247.22575
220.0,230.46292
230.0,229.71678
248.33,233.69391
226.29,227.8742
230.5,227.8742
218.0,231.85135
225.0,223.71017
228.89,229.95692
223.5,227.1019
232.5,227.74127
223.67,225.65857
224.44,237.85794
